PI,CoI,Role,DeptID,Department,Proposal,AwardID,Title,Created,Deadline,Type,ProposalStatus,AwardStatus,BeginDate,EndDate,IndirectCosts,IndirectCostPercent,MatchingFunds,PartnerContrib,RequestAmt,Sponsor,PgmName,CompName,Keyword
"Beck,Alan","Beck,Alan",PI,230700,Earth Sciences,14906,R0759A01,GEOPHYSICS GENERAL RESEARCH,2009-09-11,1967-05-03,NEW,Accepted,Accepted,1983-01-01,2013-04-30,N,0,N,N,"$13,050.00 ",MISCELLANEOUS,OTHER RESEARCH FUNDING,1967 - CONVERSION,FR0P Conversion
"Meath,William J","Meath,William J",PI,230600,Chemistry,15095,R1173A01,INTERDISC STUDIES CHEM PHYSICS,2009-09-11,1973-10-04,NEW,Accepted,Accepted,1973-10-04,2012-02-29,N,0,N,N,"$8,500.00 ",ONTARIO CANCER TREATMENT & RESEARCH FNDN,LONDON CANCER CLINIC,1973 - CONVERSION,FR0P Conversion
"Meath,William J","Meath,William J",PI,230600,Chemistry,15096,R1173A01001,INTERDISC STUDIES CHEM PHYSICS,2009-09-11,1973-10-04,RNW,Accepted,Accepted,1990-05-01,2013-04-30,N,0,N,N,"$8,500.00 ",ONTARIO CANCER TREATMENT & RESEARCH FNDN,LONDON CANCER CLINIC,1973 - CONVERSION,FR0P Conversion
"Dennis,Stanley","Dennis,Stanley",PI,230400,Applied Mathematics,14746,R1345A01,NAVIER-STOKES EQUATIONS,2009-09-11,1976-11-01,NEW,Accepted,Closed,1977-04-01,1980-03-31,N,0,N,N,"$144,750.00 ",NATURAL SCIENCES &  ENGINEERING RESEARCH,COMMON ACCOUNT,1976 - CONVERSION,FR0P Conversion
"Rosner,S.David","Rosner,S.David",PI,230800,Physics & Astronomy,14788,R1715A01,MOLECULAR BEAM STUDIES,2009-09-11,1976-11-01,NEW,Accepted,Closed,1977-04-01,1980-03-31,N,0,N,N,"$54,275.00 ",NATURAL SCIENCES &  ENGINEERING RESEARCH,COMMON ACCOUNT,1976 - CONVERSION,FR0P Conversion
"Milnes,Paul","Milnes,Paul",PI,230300,Mathematics,15002,R0840A01,TOPOLOGICAL SEMIGROUPS/GROUPS,2009-09-11,1976-11-01,NEW,Accepted,Closed,1977-04-01,1980-03-31,N,0,N,N,"$36,750.00 ",NATURAL SCIENCES &  ENGINEERING RESEARCH,COMMON ACCOUNT,1976 - CONVERSION,FR0P Conversion
"Thierrin,Gabriel","Thierrin,Gabriel",PI,230300,Mathematics,15013,R0504A01,AUTOMATA-LANGUAGES-MATH PROGRM,2009-09-11,1976-11-01,NEW,Accepted,Closed,1977-04-01,1980-03-31,N,0,N,N,"$108,000.00 ",NATURAL SCIENCES &  ENGINEERING RESEARCH,COMMON ACCOUNT,1976 - CONVERSION,FR0P Conversion
"Wehlau,Amelia Faye","Wehlau,Amelia Faye",PI,230800,Physics & Astronomy,15061,R0999A01,VARIABLE STARS-GLOBULAR CLUSTR,2009-09-11,1976-11-01,NEW,Accepted,Closed,1977-04-01,1980-03-31,N,0,N,N,"$22,450.00 ",NATURAL SCIENCES &  ENGINEERING RESEARCH,COMMON ACCOUNT,1976 - CONVERSION,FR0P Conversion
"Locke,Michael","Locke,Michael",PI,231000,Biology,15086,R1759A01,ULTRASTRUCTURAL-DEVELG CELLS,2009-09-11,1976-11-01,NEW,Accepted,Closed,1977-04-01,1980-03-31,N,0,N,N,"$86,520.00 ",NATURAL SCIENCES &  ENGINEERING RESEARCH,COMMON ACCOUNT,1976 - CONVERSION,FR0P Conversion
"Gray,David F","Gray,David F",PI,230800,Physics & Astronomy,15236,R1317A01,STELLAR ATMOSPHERE & ANALYSIS,2009-09-11,1976-11-01,NEW,Accepted,Accepted,1977-04-01,1980-03-31,N,0,N,N,"$61,021.00 ",NATURAL SCIENCES &  ENGINEERING RESEARCH,COMMON ACCOUNT,1976 - CONVERSION,FR0P Conversion
