Name,Degrees,Department,Department2,Rank,AdministrativePosition,Faculty
"Abada,Teresa ","BA, Ph.D. Alberta; ",Sociology ,Womens' Studies ,Associate Professor ,,Social Science
"Abdel Galil,Khadry Ahmed ",DDS BDS at ALEXANDRIA ; Ph.D. at Western ; Ph.D. at VANDERBILT ,Anatomy & Cell Biology/Dentistry ,,Associate Professor ,,Schulich
"Abdel Malek,Gihan ",MBBS Egypt Cairo Univ ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Abell,Nicholas A ","BA St Lawrence Univ USA, MD U of Manitoba ",Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Abelson,Donald Edward ","BA Toronto; MA, Ph.D. Queen's; MA Western; ",Political Science/Centre for American Studies ,,Professor ,,Social Science
"Abid,Zine Eddine ","BA Algeria, Ph.D. Minnesota ",Electrical & Computer ,,Adjunct Research Professor ,,Engineering
"Abouhassan,Tyceer ",BSc Univ of Windsor; MD Univ of Ottawa ,Department of Medicine/Schulich - Education ,,Adjunct/MD ,,Schulich
"Abu-Zahra,Hakam ","MB, Cairo Univ, EGY; MD, Medical Council of Canada ",Family Medicine - General ,,Adjunct/MD ,,Schulich
"Abuhajar,Osama Salem A. ","MSc., Civil Engineering, Univ of Garyounis ",Civil & Environmental ,,Lecturer ,,Engineering
"Abushawish,Ghassan ",MD at TISHREEN ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Acres,William Dixon ",BA Canada; MA/Ph.D. GBR ,History ,,Assistant Professor ,,Social Science
"Acton,Richard Douglas ","BA Royal Military College,ON; BED Western ",Education - Preservice Office ,,Lecturer ,,Education
"Adamiak,Kazimierz ","DSC Gdansk; MSc, Ph.D. Szczecin Poland; PEng ; ",Electrical & Computer ,,Professor ,,Engineering
"Adamowicz,Emily Jane ",BMUS McGill Univ ,Music - Research & Composition ,,Lecturer ,,Music
"Adams,Brent T ",(no degrees) ,Music - Performance Studies ,,Lecturer ,,Music
"Adams,Howard Franklyn ",MD at Western ,Schulich - Education Office/Surgery ,,Adjunct/MD ,,Schulich
"Adams,Joel Curtis ",BMUS McGill Univ ,Electrical & Computer ,,Lecturer ,,Engineering
