YEAR,,AUTHOR NAME,,SUBJECT AREA,,DOCUMENT TYPE,,SOURCE TITLE,,KEYWORD,,AFFILIATION,,COUNTRY,,SOURCE TYPE,,LANGUAGE,
2013,697,"Puddephatt, R.J.",480,Agricultural and Biological Sciences,2716,Article,41709,Journal of the American Chemical Society,309,Article,18583,Western University,54812,Canada,51726,Journals,50719,English,54703
2012,3425,"Bancroft, G.M.",299,Arts and Humanities,1077,Conference Paper,4881,Journal of Biological Chemistry,301,Human,17106,University of Toronto,2139,United States,7831,Conference Proceedings,3342,French,177
2011,3428,"Hegele, R.A.",263,"Biochemistry, Genetics and Molecular Biology",9476,Review,3605,Brain Research,286,Priority journal,13564,London Health Sciences Centre,1919,United Kingdom,2018,Book Series,684,Chinese,52
2010,3240,"Goodale, M.A.",253,"Business, Management and Accounting",974,Letter,982,Lecture Notes in Computer Science Including Subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics,267,Humans,12835,Robarts Research Institute,1362,Germany,1069,Books,83,German,31
2009,3160,"Klein, G.J.",244,Chemical Engineering,1999,Editorial,575,CMAJ,262,Male,10758,McMaster University,1349,China,987,Trade Publications,70,Spanish,22
2008,2906,"Kavaliers, M.",243,Chemistry,4216,Note,538,Inorganic Chemistry,240,Female,10457,The University of British Columbia,1006,Australia,826,Reports,4,Portuguese,10
2007,2791,"Sham, T.K.",224,Computer Science,2945,Article in Press,379,Canadian Journal of Physiology and Pharmacology,223,Controlled study,7931,Lawson Health Research Institute,876,France,815,,,Polish,6
2006,2522,"Fenster, A.",223,Decision Sciences,595,Short Survey,358,Nature,222,Adult,7376,University of Calgary,821,Japan,525,,,Japanese,5
2005,2455,"Fleet, M.E.",218,Dentistry,461,Erratum,94,Journal of Chemical Physics,203,Nonhuman,7288,University of Alberta,766,Netherlands,442,,,Norwegian,3
2004,2032,"Reid, G.",210,Earth and Planetary Sciences,3608,Book,15,Canadian Family Physician,196,Animals,4726,"University of Ottawa, Canada",681,Italy,435,,,Hebrew,2
2003,1895,"Garg, A.X.",203,"Economics, Econometrics and Finance",982,Abstract Report,7,Organometallics,190,Animal,4161,McGill University,677,Spain,375,,,Italian,2
2002,1504,"Norton, P.R.",199,Energy,899,Report,4,Canadian Journal of Neurological Sciences,178,Animal experiment,3797,"Queen's University, Kingston",630,Sweden,365,,,Russian,2
2001,1413,"Yee, R.",192,Engineering,5688,Conference Review,3,Progress in Biomedical Optics and Imaging Proceedings of SPIE,168,Aged,3796,University of Waterloo,579,Brazil,347,,,Danish,1
2000,1483,"Fyfe, W.S.",184,Environmental Science,2049,Undefined,1752,Canadian Journal of Cardiology,167,Middle Aged,3477,Conseil national de recherches Canada,550,Switzerland,327,,,Dutch,1
1999,1444,"Donner, A.",182,Health Professions,1547,,,Journal of Applied Physics,165,"Support, Non-U.S. Gov't",3406,Dalhousie University,495,India,320,,,Korean,1
1998,1399,"Krahn, A.D.",181,Immunology and Microbiology,2024,,,Proceedings of SPIE the International Society for Optical Engineering,164,Canada,3135,University of Saskatchewan,474,Hong Kong,254,,,Romanian,1
1997,1490,"Cherian, M.G.",171,Materials Science,2667,,,Personality and Individual Differences,162,Major clinical study,3126,University of Manitoba,408,Finland,253,,,Turkish,1
1996,1472,"Possmayer, F.",170,Mathematics,2736,,,Journal of Wind Engineering and Industrial Aerodynamics,150,Review,2835,London Regional Cancer Program,391,Denmark,240,,,,
1995,860,"Stillman, M.J.",168,Medicine,18691,,,Plos One,150,Rat,2736,Saint Joseph's Health Care,384,Belgium,224,,,,
1994,923,"Armstrong, D.T.",165,Multidisciplinary,493,,,Stroke,147,Rats,2686,University of Guelph,350,Russian Federation,218,,,,
1993,824,"Rohani, S.",160,Neuroscience,4035,,,Canadian Journal of Surgery,147,Animal cell,2200,Universit_ de Montr_al,348,Israel,213,,,,
1992,833,"Nakhla, G.",158,Nursing,885,,,Canadian Journal of Chemistry,147,Adolescent,2110,"Hospital for Sick Children, Toronto",341,New Zealand,208,,,,
1991,748,"Jiang, J.",158,"Pharmacology, Toxicology and Pharmaceutics",1693,,,Journal of Applied Physiology,144,Mice,2012,Simon Fraser University,287,Austria,201,,,,
1990,900,"Hachinski, V.",157,Physics and Astronomy,5552,,,Biology of Reproduction,142,Mouse,1946,York Universite Canada,239,Iran,189,,,,
1989,849,"Jennings, M.C.",157,Psychology,3169,,,Astrophysical Journal Letters,141,Unclassified drug,1911,Universit_ Laval,232,South Korea,186,,,,
1988,815,"Chambers, A.F.",155,Social Sciences,3247,,,Powder Technology,141,Clinical article,1886,"Saint Michael's Hospital, Toronto",231,Singapore,160,,,,
1987,753,"Holdsworth, D.W.",153,Veterinary,48,,,Canadian Journal of Earth Sciences,140,Methodology,1864,University of Windsor,227,Mexico,148,,,,
1986,775,"Paterson, D.H.",152,Undefined,330,,,Experimental Brain Research,140,Animal tissue,1825,"University of Toronto, Faculty of Medicine",214,Poland,145,,,,
1985,729,"Jacobs, P.W.M.",149,,,,,Medical Physics,136,Clinical trial,1778,Sunnybrook Health Sciences Centre,199,Argentina,117,,,,
1984,724,"McIntyre, N.S.",148,,,,,Canadian Geotechnical Journal,135,Time Factors,1595,University of Wisconsin Madison,192,Norway,117,,,,
1983,630,"Lau, W.M.",146,,,,,Endocrinology,132,Child,1450,Memorial University of Newfoundland,180,Ireland,108,,,,
1982,573,"Kertesz, A.",145,,,,,Journal of Rheumatology,127,Human cell,1429,"Children's Health Research Institute, London, ON",173,Taiwan,107,,,,
1981,548,"Peters, T.M.",144,,,,,Canadian Journal of Psychiatry,123,Animal model,1413,University Health Network,171,Saudi Arabia,103,,,,
1980,516,"Mogenson, G.J.",142,,,,,Journal of the Chemical Society Chemical Communications,123,Normal human,1397,VA Medical Center,164,Chile,95,,,,
1979,499,"Margaritis, A.",141,,,,,American Journal of Obstetrics and Gynecology,122,Case report,1350,Parkwood Hospital,160,Ukraine,83,,,,
1978,449,"Cunningham, D.A.",141,,,,,Neurology,122,Metabolism,1293,UCL,150,United Arab Emirates,80,,,,
1977,436,"Koren, G.",141,,,,,Canadian Journal of Zoology,121,Protein expression,1277,Universite Concordia,148,South Africa,75,,,,
1976,420,"Harris, S.B.",140,,,,,Virology,121,Physiology,1261,Centre for Addiction and Mental Health,144,Czech Republic,67,,,,
1975,396,"Valvano, M.A.",140,,,,,Physical Review B,120,Treatment outcome,1252,University of New Brunswick,141,Egypt,55,,,,
1974,401,"Yu, P.",139,,,,,Journal of Neurophysiology,119,Ontario,1199,University of Washington Seattle,136,Hungary,50,,,,
1973,301,"Carroll, K.K.",139,,,,,Surface Science,118,Treatment Outcome,1161,Mayo Clinic,133,Greece,46,,,,
1972,199,"Ciriello, J.",139,,,,,Chemical Engineering Science,116,Algorithms,1115,University Michigan Ann Arbor,131,Turkey,44,,,,
1971,187,"Ossenkopp, K.P.",138,,,,,Proceedings of the National Academy of Sciences of the United States of America,115,In vitro study,1103,University of Victoria,130,Portugal,42,,,,
1970,141,"Karmazyn, M.",133,,,,,Canadian Conference on Electrical and Computer Engineering,115,"Aged, 80 and over",1096,Wilfrid Laurier University,124,Bulgaria,41,,,,
1969,91,"Rushton, J.P.",133,,,,,Astronomy and Astrophysics,114,Pregnancy,1072,Brock University,123,Slovakia,40,,,,
1968,81,"Rowe, R.K.",131,,,,,American Journal of Physiology Regulatory Integrative and Comparative Physiology,110,Mathematical models,1061,University of Pennsylvania,122,Thailand,36,,,,
1967,78,"Mitchell, I.V.",131,,,,,Biochemistry,110,Human experiment,1056,UC Davis,122,Nigeria,32,,,,
1966,58,"Patel, R.V.",131,,,,,Applied Physics Letters,109,Psychological aspect,992,Lakehead University,122,Romania,30,,,,
1965,58,"McKeon, D.G.C.",130,,,,,American Journal of Physiology Heart and Circulatory Physiology,108,Computer simulation,987,Agriculture et Agroalimentaire Canada,120,Pakistan,27,,,,
1964,40,"Skanes, A.C.",128,,,,,Magnetic Resonance in Medicine,106,Drug efficacy,986,University of Oxford,119,Malaysia,25,,,,
1963,34,"Sun, X.",127,,,,,Journal of Immunology,106,Follow up,958,National University of Singapore,117,Lebanon,25,,,,
1962,31,"Longstaffe, F.J.",125,,,,,Conference Record IAS Annual Meeting IEEE Industry Applications Society,104,Animalia,943,Carleton University,115,Latvia,21,,,,
1961,27,"Vittal, J.J.",124,,,,,Canadian Journal of Ophthalmology,102,Central nervous system,924,"University of California, San Diego",115,Peru,21,,,,
1960,22,"Cottam, M.G.",123,,,,,Physical Review B Condensed Matter and Materials Physics,102,Randomized controlled trial,893,Harvard Medical School,114,Cuba,19,,,,
1959,18,"Chakrabarti, S.",122,,,,,Physical Review Letters,101,Comparative study,892,"University of California, San Francisco",114,Bangladesh,19,,,,
