Subject area,Number
Agricultural and Biological Sciences,2716
Arts and Humanities,1077
"Biochemistry, Genetics and Molecular Biology",9476
"Business, Management and Accounting",974
Chemical Engineering,1999
Chemistry,4216
Computer Science,2945
Decision Sciences,595
Dentistry,461
Earth and Planetary Sciences,3608
"Economics, Econometrics and Finance",982
Energy,899
Engineering,5688
Environmental Science,2049
Health Professions,1547
Immunology and Microbiology,2024
Materials Science,2667
Mathematics,2736
Medicine,18691
Multidisciplinary,493
Neuroscience,4035
Nursing,885
"Pharmacology, Toxicology and Pharmaceutics",1693
Physics and Astronomy,5552
Psychology,3169
Social Sciences,3247
Veterinary,48
Undefined,330
